Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Ano (Código),Ano,Variável (Código),Variável,Unidade da Federação (Código),Unidade da Federação,Condição em relação à força de trabalho na semana de referência (Código),Condição em relação à força de trabalho na semana de referência,Situação do domicílio (Código),Situação do domicílio
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",21,Maranhão,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",22,Piauí,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",23,Ceará,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",24,Rio Grande do Norte,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",25,Paraíba,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",26,Pernambuco,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",27,Alagoas,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",28,Sergipe,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",29,Bahia,32860,Total,6795,Total
3,Unidade da Federação,1572,Mil pessoas,,2013,2013,4312,"Pessoas de 18 anos ou mais de idade que consomem feijão regularmente, considerando um intervalo de confiança de 95% - limite superior",31,Minas Gerais,32860,Total,6795,Total
